,video_id,channel_id
2,_C1pZ0KL0MM,No Data
3,6sexVZpv5RI,UCbJoWdIyULC-VuJebfKhPLQ
4,vmd4px8348Y,UC3oHasOAxRUwX0HpEhnWsQg
5,kKt7R582Umk,No Data
6,9D2iNVZ9kJk,UC3uAIK-2HyXEeotd7PNZbfg
7,pw4BYR6njRI,No Data
8,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
9,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
10,k8Bt_phVS5Y,No Data
11,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
12,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
13,Iaafx-x9T6E,No Data
14,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
15,h5isK6A2giQ,No Data
16,KqtWo-4A0LU,No Data
17,J156zfTzMTM,No Data
18,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
19,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
20,AlI4Q_Pe3BI,No Data
21,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
22,_vXYt1zQLqA,No Data
23,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
24,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
25,9H3LBeqxT8c,No Data
26,dol3ryJcsio,No Data
27,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
28,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
29,8TGSLIjeKnw,No Data
0,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
1,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
2,J_loNEewV8s,No Data
3,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
4,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
5,LTDy5e1W_GU,No Data
6,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
7,jfeKoBCmBRc,No Data
8,kpeCmYPB9e8,No Data
9,j4Y_pS5ha3A,No Data
10,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
11,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
12,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
13,0ovTFlKXcy0,No Data
14,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
15,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
