,channel_id,subscriber_count
3,UCZm4hXoFy5ynSaGXVfP-NGQ,57600
4,UCx3LKgU243gC-kKhhFD4NWQ,40400
5,UC27RIvOR7ev2zl6ZkkxOjHg,19100
6,UCWxCyZibDIWIrGIgP25mbfw,6940000
7,UCkkxn2ldlFUMupTlXU8meAw,952000
8,UCN1hnUccO4FD5WfM7ithXaw,15000000
9,UC5PBnSG7C0WXp5gjd4bzKtw,1110000
10,UCSoEDFXaMcHbAlWlduce2eg,519000
11,UCvtbgZXQEGo1pxa-PkMP98A,17600
12,UCGL2699xGK-6p0AAnTVS5-g,151000
13,UCbD8EppRX3ZwJSou-TVo90A,14100000
14,UCdIg25jnHpfVpnHNoCakU4Q,0
15,UCqltwdVS2hLvSjC9eFmfrWg,560000
16,UCMtFAi84ehTSYSE9XoHefig,7630000
17,UCuy20QT7kmThd7ZkY0G7DZg,133000
18,UCL4ss3I2WQaWp2sw1SjHi5Q,245000
19,UConaGRzpWrIGU6ALkUASyYg,104000
20,UCJZE3JknxQq5Qrycx1uz2Sg,22400
21,UCmxA5dpdT_BVdqFlggHjtTw,1200
22,UCryItMG5CX-iF_7OzRTn9SA,234000
23,UCQuVITBfktYveqM3xFIGgyg,37300
24,UCTWooHSLR-d8BjemF5HzN9g,0
25,UCi8o8ntuLNTbUgc3VD6i-eQ,146000
26,UCwWhs_6x42TyRM4Wstoq8HA,7800000
27,UCynIYcsBwTrwBIecconPN2A,2570000
28,UCNcQkRqY3_Ozcnlo6STqlAQ,105000
29,UCXgaaEw-FRb4HXGo8ka-pfw,251000
0,UC-J0pIKmHc6_chLUCch_wNA,168000
1,UCUzMcAXn1QXeehPWMU57ygg,56200
2,UC90kVpd8-p3z19H4UE39zng,57700
3,UCyfIoPNszuAKpeaLobnvYxQ,63300
4,UC55Ugnz0PjMsfyZ1LCFDZTA,315000
5,UCSzYokfaH2v1521wqrh9fhA,24000
6,UCDOJkSTUNY3_NKawpkPvjHg,176000
7,UCynURu72A71GmEVQcsZXcKQ,117000
8,UCFsh-rJiy2S_xuZZMg6ERZg,0
9,UC9tIbZlzum_-xPfLsNbOwjg,86300
10,UCFDEkoNJ4e1VH6A6SUk9N4g,185
11,UCZ7B1oCEDT_d4c9XTtChX7w,383000
12,UCoh_z6QB0AGB1oxWufvbDUg,2050000
13,UCe4JoFm4FTM_2_iQO9P5dIg,33700
14,UCtuyWcm-zDwJB4eHkZaDmGg,5980
15,UCqEfdEvLG5oQWNYlDQrGlKw,1050000
16,UCI8dCgv5cGNE1CQ3TmSWJOg,439000
17,UC7O8RxRMCRilg0ucaNxGE9A,20600
18,UC1lgJkpCx_0SMzsvrTCdxPw,318000
19,UCD7-Ocp4InwPKzwiq_U-Abg,696000
20,UCqAbcgEp4NqCRnLG3NVJezw,310000
21,UCad4VUyyzWqenlkjfCTQ47A,162000
22,UCrPG99iyp64FDF8MrB9uVPA,339
23,UCXteDRy5qB0IjA8WPusCJ7w,1090000
24,UC14QT5j2nQI8lKBCGtrrBQA,734000
25,UCrR3bHE6ZJ30YUUTl-G2RVg,225000
26,UC3wEaRK3h93UehXbg9YRcmQ,104000
27,UCJk8dZsM8SIGzIBJ-rDcB3Q,579000
28,UCMo5MECD5pwhUVLaMqZo5Xg,1080000
29,UCIfuY0NRq1szr_6tzFy23NQ,86200
0,UCSkLRGGIGKOtinamhcy_42g,380000
1,UCljYHFazflmGaDr5Lo90KmA,5040000
2,UCG4fqU419F_vnBkIfSyR9Yg,426000
3,UCqly9F4Fr_jf2Y1Cy5hacRg,1070000
4,UC4QadOSsJu54Qs8z99shRiQ,1480000
5,UC499RUHBCxesTo_ppKPlfhg,123000
6,UCQBG3PzyQKY8ieMG2gDAyOQ,2290000
7,UCWbB8rGkcOc58YYS0QaCG3w,258000
8,UCR1zT1s524Hbc85bdvno_8w,1130000
9,UCQ3Kgx1G1NkELoJ8tJ3uelg,581000
10,UCyo6aLuDHbUoNTv-NR-Y0NA,1010000
11,UC0e87WXu_SJhrc8tb08qyaQ,122000
12,UC_giNzXnIMihPb8ERG_4kSw,48800
13,UCzw-C7fNfs018R1FzIKnlaA,12400000
14,UCz97F7dMxBNOfGYu3rx8aCw,4340000
15,UCcvLSRIWJIAGFDyWtzkbiHA,1600000
16,UCGbOTPDlBwkN-4N85dK6U7Q,231000
17,UCFtVzEblikHdro4J5HeMo4w,582000
18,UCZm4hXoFy5ynSaGXVfP-NGQ,57600
19,UCrPG99iyp64FDF8MrB9uVPA,339
20,UCutJqz56653xV2wwSvut_hQ,5390000
21,UCgMPP6RRjktV7krOfyUewqw,8710000
22,UCfVqLqmH2M9V-jlxGipZSGA,2370
23,UCQUdNis13Y2bXiV7fssSNCg,685000
24,UCroloVlHKUnvOMn5MtuvyDg,422000
25,UCibEhpu5HP45-w7Bq1ZIulw,6280000
26,UCgOfjIl0I_oG7VxIoaKaRsw,1140000
27,UCRVruzlQF5cqpw9jQgIgNdw,756000
28,UCx2eWrQGKO2IvTVjho3BeKw,3210
29,UC3wEaRK3h93UehXbg9YRcmQ,104000
0,UCxpIo6FFB7gMQz2Fy2X8XdQ,357000
1,UCUndCm0YDFKtKHNDvG2cE2Q,33500
2,UCfodSug0zXKfd8HpSay9JBg,374000
3,UCIRfNQcAO0Te-3abudINbJA,6590
4,UCpOjLndjOqMoffA-fr8cbKA,4340000
5,UCzXjPL7zo0bxhOYDxLJ9YEg,2840000
6,UCRgOqI54g1VqnQnwIB6WPSA,201000
7,UCSeDpnnXFVbLEbbvFvEEqKA,224000
8,UClX3YSREJp3ELuv2wFAYOzA,1280000
9,UCyo6aLuDHbUoNTv-NR-Y0NA,1010000
10,UCXteDRy5qB0IjA8WPusCJ7w,1090000
11,UC1pHFqCMAIHP8gr4lYGtNLA,3820000
12,UCLO1yCo0gDgpXhyM0fXfXXA,257000
13,UCJk8dZsM8SIGzIBJ-rDcB3Q,579000
14,UC2hA-6M66dE2Tt_4xM8K9wQ,68800
15,UCY5fcqgSrQItPAX_Z5Frmwg,1030000
16,UCGbOTPDlBwkN-4N85dK6U7Q,231000
17,UCaT2L0VybZmhQNbrr4gwnTQ,25900
18,UCqAbcgEp4NqCRnLG3NVJezw,310000
19,UCG4fqU419F_vnBkIfSyR9Yg,426000
20,UCl2aT0nRejTCQO_LHZAftBw,4010000
21,UCMKvT0YVLufHMdGLH89J1oA,298000
22,UC8_wmm5DX9mb4jrLiw8ZYzw,3020000
23,UCriA6OetuAB_S9UCnvR-HdQ,415000
24,UCr-QcqNToYablI-jU2VPVSw,647000
25,UC7RMi15o0aQacJhxOc6LLmw,446000
26,UCfCY70zRsvnnKzQ39mBq0rw,953000
27,UCrsnfPtox8SQrVl0WySNjgQ,87300
28,UCSRnJlqWYxj0p7SLBVttwnw,546
29,UCm7S9NqpjZcB3OQ1-2zAghA,87200
0,UCErkC29SJY8RGSpIJa9qJoA,129000
1,UCVk4F43Qz482FVlBV92shjQ,580
2,UCko_-udsBjrsKr2FGwE_lgg,9670
3,UCSoEDFXaMcHbAlWlduce2eg,519000
4,UC5e0xdyGS7OEgyLroMxwrbw,383000
5,UCvlctY0BTwLULhSSpZ6_wmw,357000
6,UCRDDfbYPHX_GUJ4lcQYTc8A,1880000
7,UCWvm8F_jPF3qYE5-2oMKqig,54600
8,UCYs35nWy7aTUBA4w8LcSCjQ,164000
9,UCQUA8cPZgNoYEW2OgX482ng,533000
10,UCljUAjufNh7VI0yElcAdlhg,340000
11,UCWaD_J0qRubgPr9DV_x9-Jw,9020
12,UCtinbF-Q-fVthA0qrFQTgXQ,12100000
13,UCVP_Fma2_-BEKWYc79JVQDw,805000
14,UCVSDXs3jKdbrKLz9DHTi-KQ,44500
15,UCXTsCXNGHmePgo3a47hnsAA,59200
16,UChFqyZDekCMt_z7sVO3JjBQ,879000
17,UC1Lp8HbCqOPBMT1W_mjb21A,581000
18,UCEfQOXTW4MaizNN7UVQIUaA,30600
19,UCWSPqhLRvqjC-vLYA5_n4LQ,344000
20,UCpRh2xmGtaVhFVuyCB271pw,590000
21,UCrR3bHE6ZJ30YUUTl-G2RVg,225000
22,UCdpwrfzRHaxrYl4cehVgjwg,29200
23,UCIdvUcYF5CmtYlTn_zhmJGA,12900
24,UCIcWsDvtbC5b8I_Z0Q5T6sA,3570
25,UCu6wvIjEus6kAIyrUGHbzxw,16100
26,UCad4VUyyzWqenlkjfCTQ47A,162000
27,UCMtFAi84ehTSYSE9XoHefig,7630000
28,UC9TSfpyxg_-3jG-eqDI2_RQ,390000
29,UCI5pX--ky1-KE8xu5ybTq2Q,272000
0,UC14QT5j2nQI8lKBCGtrrBQA,734000
1,UC2TCPeRl66OCXYXLIsQpd-A,104000
2,UCMo5MECD5pwhUVLaMqZo5Xg,1080000
3,UCT3eZqObkieYvtrTncLnoog,231000
4,UC4arQnli3ffEuCSrSgAD_Ug,243000
