,video_id,channel_id
176,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
178,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
182,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
183,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
185,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
187,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
188,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
191,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
192,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
194,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
195,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
197,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
198,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
200,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
204,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
205,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
206,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
208,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
209,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
213,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
214,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
215,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
216,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
217,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
219,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
220,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
222,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
226,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
227,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
229,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
231,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
232,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
235,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
236,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
238,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
239,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
241,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
242,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
244,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
248,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
249,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
250,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
252,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
253,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
257,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
258,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
259,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
260,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
261,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
263,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
264,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
266,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
270,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
271,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
273,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
275,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
276,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
279,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
280,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
282,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
283,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
285,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
286,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
288,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
